modelAggId,modelName
69274,AQR Flex Strategy
69322,Quantinno Long/Short Strategy
69323,Aperio Long/Short Strategy
69464,AQR Tax-Aware Delphi Plus Fund
69273,Shelton Custom Option Strategy
69321,SpiderRock Custom Option Strategies
69436,Account Bridge 10
69435,Account Bridge 20
69434,Account Bridge 30
69433,Account Bridge 40
69432,Account Bridge 50
69431,Account Bridge 60
69430,Account Bridge 70
69429,Account Bridge 80
69428,Account Bridge 90
69427,Account Bridge 100
69440,Account Bridge
69456,Account Bridge Fixed Income
